類別,,完成,書名,commits,author
,35,TRUE,你的未來值多少？,"精算師 現值  = 未來的事務在現在的價值，複利: 本金(1+R), 現值是由未來價值經複利反推的現在價值，主要有五大步驟、 1.釐清選擇 2.想像未來 3.估計會發生的機率 4.選擇適當的折現率 5.計算現值
折現率： 複利的反面(倒數)， 未來價值 * 折現率 ＝ 現值 複利： 現值 * 複利 ＝ 未來價值 本金為1000，複利率為: 2%, 第n年後的可獲得多少錢的計算方法 1000 * (1+0.2)^n 承上 總期間共多少獲利？ 
1000 * ","Peter Neuwirth

N:年數
CF(t): 預期在t年支付的金額
P(t): 確實在t年支付金額的機率
i = 假設的利率 / 折現率"
,36,TRUE,Sprint 一週衝刺計畫 ,"分為五天 1.找各領域的人討論各面相發散各種點子、2.點子歸類與調查 、3.去除發想人並且專注於點子上收斂去除各種點子雜訊,同時聯繫受測人去並決定執行方案、4.全新專注以最小可執行產品(MVP)原則於原型製作、5.觀察受測人接觸產品的任何舉止(最少5位)",
,37,TRUE,榖倉效應,抽離既有模式、以第三方客觀觀看全景、猶如功能性醫學看全體經營情況、讓風險看的見、透過新人訓練擁有共同經驗來降低榖倉，榖倉非好非壞，端看如何去看他。,
,38,TRUE,早上起床最重要的三件事,"GTD, 番茄時鐘、吃青蛙來計畫有所進展、omnifocus, 信件夾收集任務、清空信件、日週月年review流程",張永錫
,39,TRUE,康乃爾最經典的思考邏輯課,認識錯誤認知、預設立場、過度推論所帶來的災難性結果，事實上我們更應該時常啟用元認知來注意自己不要太依賴類比與過度推斷、自我證明預言的錯誤認知,Tomas Gilovich著、林力敏譯
,40,TRUE,賽局意識,我們可以透過技巧來突破囚徒困境、而保有選擇主導權,David McAdams著、朱道凱譯
,41,TRUE,深度工作,透過工作前儀式如坐思(冥想)、或是個人自己的流程、來進入心流專注的狀態進而提高產值與時間使用的效能、關掉社交軟體與即時通訊、來達到非同步的生活方式、並且建立一套簡單且容易的計畫安排分為1.重要且急迫、2.重要且不急迫、3.不重要且急迫、4.不重要且不急迫、來對所有事務初步篩選、可配合長期的計畫可以配合曼陀羅筆記術、短期的計畫可以直接使用Get thing done(GTD)來作為實現的切入點。,
,42,TRUE,大腦解密手冊,解析人腦對於記憶與回憶的運作方式 —透過重複練習建構大腦迴路以習得某項技能，大腦有資源回收機制，不常用的會被遺忘，大腦運作能量約10w非常結能，大腦的記憶是不可信的、可以透過GTD來解除疑慮,
,43,TRUE,雪球速讀法,高速重複性閱讀加深印象，並且透過重複快速閱覽增加腦內連結，透過增加的腦內連結來更快理解相關或相同領域的擴展，降低理解時間，進而形成速讀，最好的作法是時常性閱讀，並且不侷限在某特定領域與框架之下，閱讀書籍是在認識一位新朋友。,
,44,TRUE,人類大歷史,簡述人類進化過程、並且透過到底是小麥馴服人類還是人類馴服小麥？來做為一個思考案例、啟發我們對人類文明與文化的脈絡、我們為何有貨幣？為何我們人類會演變到全世界整個地球？物競天擇為何選擇人類？這是一種認知革命、其中令我印象最深刻的是人是非常弱的生物、所以發展了社會文明、通過合作來延長生命時間、通過合作來避免更強大的物種帶來危險、人類善用合作、不過合作對象的數量有其上限:160人與榖倉效應裡所提到人類合作數量相去不遠及星星社會數量相差無幾、但與星星不同的事、人因為有宗教信仰而讓合作對象擴大、有國家的概念讓合作對象數量的上限增大。,
,45,TRUE,人類大命運,,
,46,FALSE,最有分寸的溝通術,,
,47,TRUE,"冷讀術 I ,II",表面特徵可以獲得許多資訊。 破解話術與假算命術。,
,48,TRUE,"厚黑學 A,B",臉皮要厚、心要黑,
,49,TRUE,新絕對成交,獅子大開口、不要接受第一價位、情不願的買賣方、提出過分要求時我方可以適時收回先有條件、文字契約的力量、契約非談判終點可以附約、任何單位都會有上級單位、以退為進,
,50,TRUE,小編開講,關於Facebook相關廣告投放技巧與吸引粉絲方針,
話題人物,51,TRUE,Jony Ive傳記,少、但是要更好、點子多不是重點、重點是如何專精在最少點子的精確執行上。,
,52,TRUE,改變成真,,柯文哲
,53,FALSE,白色力量,,
,54,TRUE,賈伯斯傳,認識Jobs開創新時代的心路歷程,
,55,TRUE,超譯尼采,各種靜思語....尼采的思想？很雜...(不推),
,56,TRUE,"靈界的譯者
索菲亞","阿飄愛吃金紙、在世孝順父母勝過離世燒金庫、注意保暖身體降低被纏繞的可能、 神明聽上的神幾乎都非正神會有差使與幫派之分",
,57,TRUE,走在夢想路上,你可能不知道你想要什麼、但是你要先知道你自己不要什麼,謝哲青
採購書單,58,FALSE,演算法統治世界,,
,59,FALSE,《OS_Apprentice系列，共四本，By Ray WenderLich家,,
,60,FALSE,三體,,
,61,FALSE,成為賈伯斯──天才巨星的挫敗與孕成,,
,62,FALSE,2014﹣2019經濟大懸崖,,
,63,FALSE,微反應,,
,64,FALSE,內向者的優勢,,
